index,kind,channel,wa_GHz,wb_GHz,w_snail_GHz,spec_GHz,detuning_GHz,w_p_GHz,lam_spec,drag,drag_applied,drag_compare_window,eta_peak,g_iswap_eff_MHz,nearest_beat_GHz,nearest_kind,nearest_target,g_collision_MHz,status,F_avg,leakage,F_avg_drag,leakage_drag,dF_drag,n_spec,n_coupler,p_transfer,t_g_ns,wall_s
10,target,qubit_qubit,3.5,3.8,4.7,3.75,0.3,0.3,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.6657673794273078,0.08056533295785906,0.6596159648178515,0.08426571114309,-0.0061514146094563404,0.0005705086606941211,0.003501929683161151,0.9335198659973103,500.0,1144.7336330413818
11,target,qubit_qubit,3.5,3.8,4.7,3.85,0.3,0.3,0.2,False,True,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.5101733499482256,0.16725795497594786,0.5101805578577396,0.16729320519053203,7.207909514028721e-06,0.00029678184681014536,0.0034374483785426097,0.7852212562920994,500.0,1120.1350679397583
12,target,qubit_qubit,3.5,3.8,4.7,3.95,0.3,0.3,0.2,False,False,False,0.27778,1.0,-0.15,onepump,b,2.0,ok,0.5705789917756641,0.1354022627380873,,,,0.00015363640759686554,0.0008505697829602058,0.8509087890065492,500.0,558.1492252349854
13,target,qubit_qubit,3.5,3.8,4.7,4.05,0.3,0.3,0.2,False,False,True,0.27778,1.0,-0.05,onepump,b,2.0,drag_compare,0.5959145266875324,0.12115580466769338,0.5943661587247874,0.12202344217818006,-0.0015483679627450453,0.0011000047968975277,0.0029963747964575887,0.8735750659487777,500.0,1331.3314154148102
14,target,qubit_qubit,3.5,3.8,4.7,4.15,0.3,0.3,0.2,False,True,True,0.27778,1.0,0.05,onepump,b,2.0,drag_compare,0.5590370974965875,0.14087879979878237,0.5635891665811715,0.13894865767128295,0.004552069084584054,0.00028304939761725467,0.004429236916960844,0.8384361754680907,500.0,1311.5048868656158
15,target,qubit_qubit,3.5,3.8,4.7,4.25,0.3,0.3,0.2,False,False,False,0.27778,1.0,0.15,onepump,b,2.0,ok,0.5795991452052907,0.13062615806682876,,,,6.917058197653946e-05,0.0018412505293476007,0.8596505364983791,500.0,528.981767654419
16,target,qubit_qubit,3.5,3.8,4.7,5.25,0.3,0.3,0.2,False,False,False,0.27778,1.0,1.15,onepump,b,2.0,ok,0.596848736610549,0.11984443928091526,,,,9.075010577145713e-05,0.00366291747675583,0.8755904276033344,500.0,614.3359794616699
17,target,qubit_qubit,3.5,3.8,4.7,5.35,0.3,0.3,0.2,False,False,False,0.27778,1.0,1.25,onepump,b,2.0,ok,0.5990828404453951,0.11997788019717615,,,,0.00024103767211993538,0.006720046366838894,0.8741075622816742,500.0,619.1900079250336
18,target,qubit_qubit,3.5,3.8,4.7,5.45,0.3,0.3,0.2,False,False,False,0.27778,1.0,1.35,onepump,b,2.0,ok,0.5997353880025029,0.11965272460143983,,,,0.00020283991059885455,0.004984138796092235,0.8757553586699373,500.0,626.0880346298218
19,target,qubit_qubit,3.5,3.8,4.7,5.55,0.3,0.3,0.2,False,False,False,0.27778,1.0,1.45,onepump,b,2.0,ok,0.6000504636235805,0.11944864594748306,,,,0.0001168673313546118,0.0043815975208587625,0.876888879266604,500.0,653.5004811286926
20,target,qubit_qubit,3.5,3.9,4.7,3.75,0.4,0.4,0.2,False,False,False,0.27778,1.0,-0.15,onepump,a,2.0,ok,0.6052828570072852,0.11659242902327516,,,,0.00016001534804116645,0.003448034801421029,0.882846280980023,500.0,580.9525876045227
21,target,qubit_qubit,3.5,3.9,4.7,3.85,0.4,0.4,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.659928896324738,0.08269373859141194,0.6545751369703916,0.0859054957780706,-0.0053537593543463435,0.0007482116298567461,0.006883828678088132,0.9276820264187466,500.0,1306.021733045578
22,target,qubit_qubit,3.5,3.9,4.7,3.95,0.4,0.4,0.2,False,False,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.5054194697669766,0.17010510493972641,0.5046617538200749,0.17050388688006368,-0.0007577159469016603,0.0002790306704437156,0.00195511264638424,0.7795903788106948,500.0,1314.793702363968
23,target,qubit_qubit,3.5,3.9,4.7,4.05,0.4,0.4,0.2,False,False,False,0.27778,1.0,0.15,onepump,a,2.0,ok,0.5600740761893738,0.14115516218635693,,,,0.00042665639393706415,0.003694465440029431,0.839803145374028,500.0,563.2450678348541
24,target,qubit_qubit,3.5,3.9,4.7,4.15,0.4,0.4,0.2,False,False,False,0.27778,1.0,-0.15,onepump,b,2.0,ok,0.5751088143492517,0.13370475020392725,,,,8.013765881730736e-05,0.002929861370465988,0.8539898541015095,500.0,559.9254794120789
25,target,qubit_qubit,3.5,3.9,4.7,4.25,0.4,0.4,0.2,False,False,True,0.27778,1.0,-0.05,onepump,b,2.0,drag_compare,0.5845447915132715,0.12830305124147134,0.5822723134403681,0.12947654142766418,-0.0022724780729034277,0.0006698930546733055,0.006440298499654497,0.8622387700684709,500.0,1491.2075996398926
26,target,qubit_qubit,3.5,3.9,4.7,5.25,0.4,0.4,0.2,False,False,False,0.27778,1.0,0.95,onepump,b,2.0,ok,0.5912574636271137,0.12404347142203864,,,,0.0002975080929467666,0.007556018087807694,0.8675619993346372,500.0,592.9353423118591
27,target,qubit_qubit,3.5,3.9,4.7,5.35,0.4,0.4,0.2,False,False,False,0.27778,1.0,1.05,onepump,b,2.0,ok,0.5930001953346185,0.12340906566360932,,,,0.00021441442796535007,0.005929465097110202,0.8693886763265325,500.0,590.51309633255
28,target,qubit_qubit,3.5,3.9,4.7,5.45,0.4,0.4,0.2,False,False,False,0.27778,1.0,1.15,onepump,b,2.0,ok,0.5931739208819898,0.12262178777273847,,,,0.0002580214965777607,0.0067909897374258295,0.8695225632070427,500.0,588.219794511795
29,target,qubit_qubit,3.5,3.9,4.7,5.55,0.4,0.4,0.2,False,False,False,0.27778,1.0,1.25,onepump,b,2.0,ok,0.5941036155991801,0.12284519706821828,,,,0.00015087008746768308,0.00532383314218358,0.8712875152510693,500.0,606.5219249725342
30,target,qubit_qubit,3.5,4.0,4.7,3.75,0.5,0.5,0.2,False,False,False,0.27778,1.0,-0.25,onepump,a,2.0,ok,0.43096920628741014,0.19279498071308843,,,,6.316948756285271e-05,0.002322203954564072,0.6883020289636751,500.0,506.44090247154236
31,target,qubit_qubit,3.5,4.0,4.7,3.85,0.5,0.5,0.2,False,False,False,0.27778,1.0,-0.15,onepump,a,2.0,ok,0.45952763316385825,0.18529791852872313,,,,0.00025404069468545784,0.0020448004573143707,0.718004508122071,500.0,555.2160322666168
32,target,qubit_qubit,3.5,4.0,4.7,3.95,0.5,0.5,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.5405688653913049,0.15029944531550155,0.525307170262034,0.15635020406913447,-0.015261695129270891,0.0007572347387959715,0.006997624282379881,0.8131732527687855,500.0,1350.3388056755066
33,target,qubit_qubit,3.5,4.0,4.7,4.05,0.5,0.5,0.2,False,False,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.4587109320944592,0.2029067932086137,0.4568508018133727,0.20601429399796056,-0.0018601302810865028,0.0005316403784820715,0.003640221471958156,0.49223896544631185,500.0,1368.2184700965881
34,target,qubit_qubit,3.5,4.0,4.7,4.15,0.5,0.5,0.2,False,False,False,0.27778,1.0,0.15,onepump,a,2.0,ok,0.43678001060501004,0.20521559976232928,,,,0.0010942368319077599,0.006141804171887879,0.6182099212029268,500.0,593.097987651825
35,target,qubit_qubit,3.5,4.0,4.7,4.25,0.5,0.5,0.2,False,False,False,0.27778,1.0,0.25,onepump,a,2.0,ok,0.4315586851642722,0.200416835224704,,,,8.17448860078793e-05,0.003183063280097844,0.6482789711385114,500.0,1233.510274887085
36,target,qubit_qubit,3.5,4.0,4.7,5.25,0.5,0.5,0.2,False,False,False,0.27778,1.0,0.75,onepump,b,2.0,ok,0.4292839103986351,0.1976818180265707,,,,5.7928017422653244e-05,0.006169014350179379,0.665451903909418,500.0,1278.250207901001
37,target,qubit_qubit,3.5,4.0,4.7,5.35,0.5,0.5,0.2,False,False,False,0.27778,1.0,0.85,onepump,b,2.0,ok,0.42804417788912996,0.19782371336422444,,,,0.0002578316212755986,0.006281657868631169,0.6676449880537639,500.0,1206.2585973739624
38,target,qubit_qubit,3.5,4.0,4.7,5.45,0.5,0.5,0.2,False,False,False,0.27778,1.0,0.95,onepump,b,2.0,ok,0.4271241940147684,0.1971466980855645,,,,0.00020755461178635537,0.00431132829299647,0.6705300612356867,500.0,1235.8465263843536
39,target,qubit_qubit,3.5,4.0,4.7,5.55,0.5,0.5,0.2,False,False,False,0.27778,1.0,1.05,onepump,b,2.0,ok,0.42709528698781674,0.1969871218710364,,,,0.00015173471330749295,0.0027484694335155424,0.6706937634571177,500.0,1228.7577397823334
40,target,qubit_qubit,3.5,4.1,4.7,3.75,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.25,static,a,2.0,ok,0.36596708519028265,0.23856890845550305,,,,0.00012244527764065203,0.005764627741537721,0.284159991740375,500.0,1018.3137073516846
41,target,qubit_qubit,3.5,4.1,4.7,3.85,0.6,0.6,0.2,False,False,False,0.27778,1.0,-0.25,onepump,a,2.0,ok,0.3648293066729809,0.24009914371662833,,,,0.00027754276588852554,0.00723997822502371,0.2830534835300043,500.0,972.6707217693329
42,target,qubit_qubit,3.5,4.1,4.7,3.95,0.6,0.6,0.2,False,False,False,0.27778,1.0,-0.15,onepump,a,2.0,ok,0.3676329101734363,0.2367564727175232,,,,0.00017380714460101811,0.002372620466910179,0.28183818887267914,500.0,978.8343365192413
43,target,qubit_qubit,3.5,4.1,4.7,4.05,0.6,0.6,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.37213199642566464,0.23177609513627528,0.37023910098776514,0.23618400609499224,-0.0018928954378995,0.00046884789182268226,0.001064030313974775,0.27237049364423127,500.0,2360.0477590560913
44,target,qubit_qubit,3.5,4.1,4.7,4.15,0.6,0.6,0.2,False,False,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.3679099642146642,0.23680968190286467,0.36750033317193315,0.23222699647705347,-0.0004096310427310623,0.00015033882933396662,0.006452653330365809,0.29189073036856306,500.0,2370.1591942310333
